date,position,weight,strategy_cum,spy_cum
2021-10-11,SPY,0.9213982413316149,1.3098312806487762,1.4618782
2021-10-18,SPY,0.8520199152929518,1.3418799747757864,1.5039164
2021-10-25,SPY,0.8146180337312033,1.362292730471303,1.532031
2021-11-01,SPY,0.9208214273822878,1.374585665206504,1.5471313
2021-11-08,SPY,1.0,1.4010943196493135,1.5770288
2021-11-15,SPY,1.0,1.3966122451421021,1.5719838
2021-11-22,SPY,1.0,1.3970309653632083,1.572455
2021-11-29,SPY,1.0,1.3881567645398603,1.5624665
2021-12-06,SPY,1.0,1.3707972921374634,1.5429273
2021-12-13,SPY,0.8680616498275127,1.3908876732977429,1.5690919
2021-12-20,SPY,0.7625965070219047,1.3681034730256256,1.5354899
2021-12-27,SPY,0.6882312425842637,1.4141670486731075,1.610682
2022-01-03,SPY,0.6802755279135926,1.4150740062117988,1.6122006
2022-01-10,SPY,0.8358703813122019,1.3847611115356475,1.5710274
2022-01-17,SPY,0.8729006219336292,1.3826884623396003,1.5683613
2022-01-24,SPY,0.95202551695012,1.3121615433565188,1.4843949
2022-01-31,SPY,0.8964570011514287,1.339061445502579,1.5183797
2022-02-07,SPY,0.7134342916857732,1.333329099220655,1.5094365
2022-02-14,SPY,0.6680977444401596,1.3169184675151384,1.4816275
2022-02-21,SPY,0.6051699259611887,1.3082203351386297,1.4654621
2022-02-28,SPY,0.6075732902025985,1.3126480266489768,1.4735616
2022-03-07,SPY,0.5811617078385758,1.2826172836224696,1.4155141
2022-03-14,SPY,0.5603981624578256,1.2784834554866265,1.4073131
2022-03-21,GLD,0.6328287677786688,1.270528556997771,1.5044094
2022-03-28,GLD,0.6116788541118079,1.2636413819909529,1.5434086
2022-04-04,SPY,0.5588438834030934,1.2643425667787715,1.5464215
2022-04-11,SPY,0.5742214825943353,1.2375788672085442,1.4892771
2022-04-18,SPY,0.6836215970667777,1.2338211013542164,1.4826757
2022-04-25,SPY,0.820039221481181,1.2119199101536196,1.4506505
2022-05-02,GLD,0.9999009578378042,1.1874093214069885,1.4031541
2022-05-09,SPY,0.5269460378255043,1.161978823376187,1.3479394
2022-05-16,SPY,0.42257650747748315,1.1644142588939186,1.3544391
2022-05-23,SPY,0.4090463197268964,1.1607745484181866,1.3437076
2022-05-30,SPY,0.37784870667383047,1.1811735871096734,1.4057949
2022-06-06,SPY,0.41465495281335174,1.1772176565370422,1.3940475
2022-06-13,SPY,0.46370102895706344,1.1285891163539108,1.269501
2022-06-20,SPY,0.42904083733390674,1.119017287532808,1.2439091
2022-06-27,SPY,0.45310328647788006,1.1507043556303225,1.3211904
2022-07-04,SPY,0.44527424350566064,1.1412226492853064,1.2962004
2022-07-11,SPY,0.4510221144139378,1.1454960626498245,1.3063667
2022-07-18,SPY,0.4927616089497294,1.1423890302752537,1.2986147
2022-07-25,SPY,0.6541069388414997,1.1691351997950192,1.3449221
2022-08-01,SPY,0.7384373325797678,1.202405648847182,1.3966012
2022-08-08,SPY,0.6974059691857547,1.2070919604189851,1.4041494
2022-08-15,SPY,0.6800049636068151,1.2388199757986524,1.4581066
2022-08-22,SPY,0.7088891973710968,1.207230604639858,1.4053731
2022-08-29,SPY,0.6918607437812312,1.1857641818632239,1.3689258
2022-09-05,SPY,0.6523879035888692,1.1660126704911888,1.3335999
2022-09-12,SPY,0.6632254301773722,1.2031675957341634,1.3972815
2022-09-19,SPY,0.6571792157360993,1.1633584297781738,1.3264809
2022-09-26,SPY,0.5255010075531796,1.1254948522515784,1.2437272
2022-10-03,SPY,0.6013240592371113,1.1300165171630259,1.2515793
2022-10-10,SPY,0.4972013379876173,1.1202323682820545,1.2290815
2022-10-17,SPY,0.46321023814131324,1.1304487881984309,1.2522963
2022-10-24,SPY,0.4577210570290996,1.1479202810759055,1.2934338
2022-10-31,SPY,0.4507150564068471,1.1584382280910404,1.3184924
2022-11-07,SPY,0.46810169547173885,1.1501351669992244,1.2971212
2022-11-14,SPY,0.5256722855319029,1.1746862837885481,1.3489103
2022-11-21,SPY,0.44902545097855745,1.1744677644665682,1.3471007
2022-11-28,SPY,0.4855795926253907,1.1768615328458114,1.3516077
2022-12-05,SPY,0.5056437208971891,1.1828716801200119,1.3641709
2022-12-12,SPY,0.5003838343448659,1.1824159361444206,1.3619857
2022-12-19,SPY,0.724421942859352,1.1456603200614972,1.3033173
2022-12-26,SPY,0.6491337488443812,1.151610878887185,1.3132293
2023-01-02,SPY,0.6298243187267645,1.1510567925408481,1.311583
2023-01-09,SPY,0.7193934092916809,1.1630495754593488,1.3302058
2023-01-16,SPY,0.6911849156154325,1.185408899799724,1.366697
2023-01-23,SPY,0.8364500282062458,1.190798016700277,1.374002
2023-01-30,SPY,0.7896881419971783,1.19090341485054,1.3738649
2023-02-06,SPY,0.8327782523481957,1.2139339058457381,1.4055543
