$NYDNV, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
08/15/2012,      1.383,    181.941,      1.383,    181.941,             0 
08/16/2012,      4.505,    132.184,      4.505,    132.102,             0 
08/17/2012,      7.619,    271.210,      7.619,    271.210,             0 
08/20/2012,      8.258,    278.899,      8.258,    278.631,             0 
08/21/2012,      2.716,    335.698,      2.716,    335.698,             0 
08/22/2012,     11.152,    316.448,     11.152,    316.448,             0 
08/23/2012,     10.267,    459.054,     10.267,    459.054,             0 
08/24/2012,      7.896,    148.496,      7.896,    148.085,             0 
08/27/2012,      2.570,    294.276,      2.570,    294.276,             0 
08/28/2012,      7.736,    276.523,      7.736,    276.466,             0 
08/29/2012,      6.143,    223.176,      6.143,    223.176,             0 
08/30/2012,      9.205,    409.149,      9.205,    409.149,             0 
08/31/2012,      0.749,    174.369,      0.749,    174.363,             0 
09/04/2012,      9.904,    307.220,      9.904,    306.811,             0 
09/05/2012,      9.926,    321.233,      9.926,    321.233,             0 
09/06/2012,      1.339,     54.952,      1.339,     49.059,             0 
09/07/2012,      4.775,    190.588,      4.775,    190.417,             0 
09/10/2012,      9.011,    414.953,      9.011,    414.943,             0 
09/11/2012,      8.125,    159.785,      8.125,    159.785,             0 
09/12/2012,      1.720,    236.720,      1.720,    236.720,             0 
09/13/2012,      8.172,    120.521,      8.172,     74.263,             0 
09/14/2012,      4.416,    240.219,      4.416,    240.048,             0 
09/17/2012,     10.528,    476.646,     10.528,    476.646,             0 
09/18/2012,     10.736,    399.959,     10.736,    399.173,             0 
09/19/2012,      5.655,    259.062,      5.655,    257.954,             0 
09/20/2012,      7.546,    419.717,      7.546,    419.690,             0 
09/21/2012,      2.232,    922.977,      2.232,    922.977,             0 
09/24/2012,     15.764,    378.586,     15.764,    378.373,             0 
09/25/2012,      3.446,    672.633,      3.446,    672.633,             0 
09/26/2012,      6.697,    460.307,      6.697,    460.307,             0 
09/27/2012,      1.015,    110.947,      1.015,    110.708,             0 
09/28/2012,     15.582,    595.324,     15.582,    595.324,             0 
10/01/2012,      2.535,    258.075,      2.535,    255.163,             0 
10/02/2012,      2.972,    293.207,      2.972,    293.207,             0 
10/03/2012,      0.001,    304.935,      0.001,    304.935,             0 
10/04/2012,      1.715,    141.524,      1.715,    141.504,             0 
10/05/2012,      1.291,    287.448,      1.291,    287.448,             0 
10/08/2012,      9.972,    278.275,      9.972,    278.207,             0 
10/09/2012,      6.489,    448.295,      6.489,    448.231,             0 
10/10/2012,      8.590,    407.480,      8.590,    406.979,             0 
10/11/2012,      1.704,    193.914,      1.704,    193.840,             0 
10/12/2012,      5.128,    458.084,      5.128,    458.084,             0 
10/15/2012,      5.902,    172.806,      5.902,    172.806,             0 
10/16/2012,      4.219,    127.059,      4.219,    127.059,             0 
10/17/2012,      1.126,    174.630,      1.126,    174.630,             0 
10/18/2012,      6.005,    314.996,      6.005,    314.406,             0 
10/19/2012,     41.293,    841.910,     41.293,    841.910,             0 
10/22/2012,      7.820,    322.267,      7.820,    322.267,             0 
10/23/2012,     10.891,    588.404,     10.891,    588.286,             0 
10/24/2012,      3.090,    417.033,      3.090,    417.033,             0 
10/25/2012,      0.013,    285.664,      0.013,    285.664,             0 
10/26/2012,      4.776,    517.599,      4.776,    517.599,             0 
10/31/2012,      5.678,    355.935,      5.678,    355.935,             0 
11/01/2012,      5.867,    156.390,      5.867,    156.379,             0 
11/02/2012,      1.858,    583.261,      1.858,    583.191,             0 
11/05/2012,     16.408,    273.483,     16.408,    273.483,             0 
11/06/2012,      2.627,    121.966,      2.627,    121.525,             0 
11/07/2012,     12.656,    791.662,     12.656,    791.662,             0 
11/08/2012,      7.000,    612.408,      7.000,    612.408,             0 
11/09/2012,     16.798,    341.788,     16.798,    341.788,             0 
11/12/2012,      4.222,    159.220,      4.222,    159.136,             0 
11/13/2012,     14.812,    461.585,     14.812,    461.577,             0 
11/14/2012,      2.471,    756.027,      2.471,    756.027,             0 
11/15/2012,      8.515,    449.752,      8.515,    449.665,             0 
11/16/2012,     13.369,    335.220,     13.369,    294.103,             0 
11/19/2012,      0.624,     51.783,      0.624,     46.211,             0 
11/20/2012,      9.994,    280.965,      9.994,    280.505,             0 
11/21/2012,      6.295,    159.781,      6.295,    159.781,             0 
11/23/2012,      1.547,     27.644,      1.547,     24.749,             0 
11/26/2012,      8.839,    375.185,      8.839,    375.150,             0 
11/27/2012,      8.205,    474.921,      8.205,    474.921,             0 
11/28/2012,     13.845,    149.295,     13.845,    142.629,             0 
11/29/2012,      2.966,    165.039,      2.966,    163.078,             0 
11/30/2012,      4.491,    474.568,      4.491,    403.601,             0 
12/03/2012,      3.213,    428.441,      3.213,    428.441,             0 
12/04/2012,      8.009,    348.429,      8.009,    347.226,             0 
12/05/2012,      6.430,    240.386,      6.430,    240.386,             0 
12/06/2012,      9.647,    258.546,      9.647,    258.546,             0 
12/07/2012,      1.266,    175.641,      1.266,    175.393,             0 
12/10/2012,     11.960,    271.280,     11.960,    271.280,             0 
12/11/2012,      0.087,    202.451,      0.087,    202.274,             0 
12/12/2012,      2.217,    299.170,      2.217,    299.058,             0 
12/13/2012,      9.013,    467.102,      9.013,    466.816,             0 
12/14/2012,     10.728,    346.004,     10.728,    345.989,             0 
12/17/2012,      4.626,    133.106,      4.626,    133.018,             0 
12/18/2012,      6.185,    118.048,      6.185,    116.496,             0 
12/19/2012,      7.362,    473.108,      7.362,    473.101,             0 
