unique_id,ds,cutoff,xLSTM-lo-80.0,xLSTM-median,xLSTM-hi-80.0,y
SPY,2006-09-26,2006-09-25,90.66028,92.19977,93.27325,93.1431884765625
SPY,2006-09-27,2006-09-25,90.915924,92.062126,93.09661,93.25470733642578
SPY,2006-09-28,2006-09-25,90.55107,91.82125,93.193794,93.21984100341797
SPY,2006-09-29,2006-09-25,90.73433,92.239525,93.44663,93.1431884765625
SPY,2006-10-02,2006-09-25,91.22371,92.12293,93.168045,92.79452514648438
SPY,2006-10-03,2006-09-25,90.993195,92.13484,93.41733,92.98975372314453
SPY,2006-10-04,2006-09-25,90.53965,92.40474,93.982056,94.07748413085938
SPY,2006-10-05,2006-09-25,91.40294,92.66341,93.676636,94.25877380371094
SPY,2006-10-06,2006-09-25,91.15154,92.41811,93.61508,94.1402359008789
SPY,2006-10-09,2006-09-25,91.550224,92.52647,93.52406,94.1960220336914
SPY,2006-10-10,2006-10-09,92.890366,94.02183,95.27136,94.32158660888672
SPY,2006-10-11,2006-10-09,91.39304,93.0245,95.17452,94.2099838256836
SPY,2006-10-12,2006-10-09,88.2374,91.345955,94.95458,95.02581024169922
SPY,2006-10-13,2006-10-09,90.62778,92.864075,95.5574,95.26986694335938
SPY,2006-10-16,2006-10-09,91.148895,92.19603,93.79733,95.4162826538086
SPY,2006-10-17,2006-10-09,90.64211,91.97663,94.2568,95.1164779663086
SPY,2006-10-18,2006-10-09,92.36687,95.22656,98.235596,95.24198913574219
SPY,2006-10-19,2006-10-09,92.48834,93.455444,95.04516,95.3953628540039
SPY,2006-10-20,2006-10-09,91.340256,93.72036,96.84155,95.4162826538086
SPY,2006-10-23,2006-10-09,92.45141,93.93205,96.123604,95.85557556152344
SPY,2006-10-24,2006-10-23,94.48351,95.58324,96.40348,96.14148712158203
SPY,2006-10-25,2006-10-23,93.76131,95.9094,98.04566,96.46919250488281
SPY,2006-10-26,2006-10-23,92.64024,95.12264,97.84845,96.76899719238281
SPY,2006-10-27,2006-10-23,93.800545,95.51763,97.56743,96.16236114501953
SPY,2006-10-30,2006-10-23,93.83472,95.216896,97.01527,96.09264373779297
SPY,2006-10-31,2006-10-23,92.90463,95.25982,97.80434,96.07869720458984
SPY,2006-11-01,2006-10-23,93.740685,96.13197,98.457664,95.43021392822266
SPY,2006-11-02,2006-10-23,95.101875,96.13272,97.6674,95.37443542480469
SPY,2006-11-03,2006-10-23,94.01176,95.97095,98.24264,95.20709991455078
SPY,2006-11-06,2006-10-23,94.54567,96.23783,98.40549,96.28093719482422
SPY,2006-11-07,2006-11-06,96.10509,96.970024,98.048706,96.65045928955078
SPY,2006-11-08,2006-11-06,94.31757,96.51264,98.80407,96.85965728759766
SPY,2006-11-09,2006-11-06,94.13248,96.425575,98.83959,96.35063171386719
SPY,2006-11-10,2006-11-06,94.94782,96.45623,97.9946,96.39251708984375
SPY,2006-11-13,2006-11-06,94.93444,96.297935,97.958824,96.62958526611328
SPY,2006-11-14,2006-11-06,94.25571,96.485275,98.83473,97.35472869873047
SPY,2006-11-15,2006-11-06,94.82552,97.05341,99.298546,97.6336669921875
SPY,2006-11-16,2006-11-06,96.23493,96.83942,98.21477,97.88465881347656
SPY,2006-11-17,2006-11-06,95.22438,96.58394,98.66538,97.91256713867188
SPY,2006-11-20,2006-11-06,95.58062,97.001205,98.87572,97.9683609008789
SPY,2006-11-21,2006-11-20,96.64878,97.72622,98.54892,98.0659408569336
SPY,2006-11-22,2006-11-20,96.24477,97.68869,99.1072,98.2612075805664
SPY,2006-11-24,2006-11-20,95.67318,97.32119,99.112656,97.86375427246094
SPY,2006-11-27,2006-11-20,96.29177,97.639565,99.13417,96.51802825927734
SPY,2006-11-28,2006-11-20,96.64277,97.458595,98.45838,96.93633270263672
SPY,2006-11-29,2006-11-20,96.50503,97.541405,98.87473,97.9474105834961
SPY,2006-11-30,2006-11-20,96.2382,98.59648,100.356514,97.98926544189453
SPY,2006-12-01,2006-11-20,97.278404,98.058,99.159294,97.77311706542969
SPY,2006-12-04,2006-11-20,96.34906,97.94358,99.584,98.51921081542969
SPY,2006-12-05,2006-11-20,96.97543,98.25746,99.50958,98.94450378417969
SPY,2006-12-06,2006-12-05,97.54469,98.37767,99.185524,98.8608627319336
SPY,2006-12-07,2006-12-05,97.1137,98.740654,100.16607,98.4285888671875
SPY,2006-12-08,2006-12-05,96.68734,98.76911,100.43845,98.60980224609375
SPY,2006-12-11,2006-12-05,97.28139,98.84393,100.07463,98.8957290649414
SPY,2006-12-12,2006-12-05,97.03308,98.733826,99.86351,98.81902313232422
SPY,2006-12-13,2006-12-05,96.86077,98.93558,100.448456,98.92362213134766
SPY,2006-12-14,2006-12-05,97.359604,98.865715,100.29982,99.79522705078125
SPY,2006-12-15,2006-12-05,97.75866,98.73598,99.67524,99.8043212890625
SPY,2006-12-18,2006-12-05,97.2352,98.84318,100.367676,99.5308837890625
SPY,2006-12-19,2006-12-05,97.754166,98.814674,100.00611,99.7201919555664
SPY,2006-12-20,2006-12-19,99.22781,99.91593,100.67107,99.66410827636719
SPY,2006-12-21,2006-12-19,98.22386,100.127945,101.97377,99.29948425292969
SPY,2006-12-22,2006-12-19,95.97122,98.92316,101.71621,98.68952178955078
SPY,2006-12-26,2006-12-19,97.58276,99.793465,101.88343,99.271484375
SPY,2006-12-27,2006-12-19,97.78241,99.478424,101.091385,99.9235610961914
SPY,2006-12-28,2006-12-19,97.47703,99.41028,101.335075,99.71318054199219
SPY,2006-12-29,2006-12-19,97.539566,100.331894,102.66979,99.29948425292969
SPY,2007-01-03,2006-12-19,98.527985,99.86845,100.99724,99.12422943115234
SPY,2007-01-04,2006-12-19,97.62615,100.22296,102.62246,99.33453369140625
SPY,2007-01-05,2006-12-19,98.230995,100.188,102.060425,98.54225158691406
SPY,2007-01-08,2007-01-05,99.11315,99.71031,100.2937,98.99798583984375
SPY,2007-01-09,2007-01-05,98.85613,99.58765,100.359055,98.91388702392578
SPY,2007-01-10,2007-01-05,98.19425,99.58831,100.84514,99.24337768554688
SPY,2007-01-11,2007-01-05,99.084496,99.6376,100.44556,99.67813110351562
SPY,2007-01-12,2007-01-05,98.81028,99.29716,99.89563,100.4354019165039
SPY,2007-01-16,2007-01-05,98.471695,99.35679,100.27125,100.23908996582031
SPY,2007-01-17,2007-01-05,98.663895,100.05354,101.2554,100.28114318847656
SPY,2007-01-18,2007-01-05,99.04942,99.86925,100.64471,99.94454956054688
SPY,2007-01-19,2007-01-05,98.95955,99.84258,101.05873,100.14092254638672
SPY,2007-01-22,2007-01-05,98.76865,99.91175,101.120285,99.83236694335938
SPY,2007-01-23,2007-01-22,99.3411,100.358765,100.99704,100.12687683105469
SPY,2007-01-24,2007-01-22,99.54205,100.61213,101.5028,100.93321228027344
SPY,2007-01-25,2007-01-22,98.615845,100.03273,101.3347,99.74822998046875
SPY,2007-01-26,2007-01-22,98.94615,100.56807,101.932526,99.6570816040039
SPY,2007-01-29,2007-01-22,98.97179,100.355034,101.60477,99.6009750366211
SPY,2007-01-30,2007-01-22,98.75213,100.309135,101.867775,100.11983489990234
SPY,2007-01-31,2007-01-22,98.64218,100.60083,102.04324,100.79297637939453
SPY,2007-02-01,2007-01-22,98.95367,100.90869,102.39665,101.3960189819336
SPY,2007-02-02,2007-01-22,98.88215,100.9393,102.58466,101.53620910644531
SPY,2007-02-05,2007-01-22,99.31277,101.15966,102.533104,101.56428527832031
SPY,2007-02-06,2007-02-05,99.78629,100.90484,101.6528,101.59235382080078
SPY,2007-02-07,2007-02-05,98.56758,100.151024,101.530075,101.81670379638672
SPY,2007-02-08,2007-02-05,98.09306,99.42671,100.73215,101.68350219726562
SPY,2007-02-09,2007-02-05,98.29363,99.80455,101.25078,100.92623138427734
SPY,2007-02-12,2007-02-05,98.324135,100.07446,101.65022,100.58261108398438
SPY,2007-02-13,2007-02-05,97.72419,99.93958,102.03123,101.43106079101562
SPY,2007-02-14,2007-02-05,99.02296,101.281235,103.16879,102.09718322753906
SPY,2007-02-15,2007-02-05,99.07251,100.53732,101.7167,102.23038482666016
SPY,2007-02-16,2007-02-05,98.589584,100.09278,101.44397,102.1812973022461
SPY,2007-02-20,2007-02-05,98.87674,100.646904,102.14396,102.39871215820312
SPY,2007-02-21,2007-02-20,100.956474,102.03488,102.99119,102.35655975341797
SPY,2007-02-22,2007-02-20,100.049835,101.63044,103.21233,102.27951049804688
SPY,2007-02-23,2007-02-20,99.62648,101.96294,104.27877,101.87980651855469
SPY,2007-02-26,2007-02-20,100.606026,102.12162,103.645706,101.78862762451172
SPY,2007-02-27,2007-02-20,100.27992,101.3742,102.69753,97.81303405761719
SPY,2007-02-28,2007-02-20,99.92728,101.51072,103.18036,98.81568145751953
SPY,2007-03-01,2007-02-20,99.76562,101.932526,104.23999,98.5212173461914
SPY,2007-03-02,2007-02-20,100.95787,101.89815,102.991486,97.23101806640625
SPY,2007-03-05,2007-02-20,100.57687,102.31332,104.083885,96.30550384521484
SPY,2007-03-06,2007-02-20,100.67303,101.96948,103.523094,97.95323181152344
SPY,2007-03-07,2007-03-06,99.43833,99.575516,100.372154,97.8551025390625
SPY,2007-03-08,2007-03-06,98.81399,101.5899,103.70512,98.68246459960938
SPY,2007-03-09,2007-03-06,99.44224,103.20864,106.35443,98.71051788330078
SPY,2007-03-12,2007-03-06,100.01352,102.28857,104.18756,98.85774993896484
SPY,2007-03-13,2007-03-06,100.65685,102.58997,104.31535,96.93653869628906
SPY,2007-03-14,2007-03-06,99.16903,101.800095,104.104095,97.65878295898438
SPY,2007-03-15,2007-03-06,98.72924,101.24698,103.54148,97.79199981689453
SPY,2007-03-16,2007-03-06,99.6201,100.44543,101.56744,97.51815795898438
SPY,2007-03-19,2007-03-06,98.92257,101.83553,104.5024,98.69377899169922
SPY,2007-03-20,2007-03-06,99.631805,102.6299,104.71049,99.23577880859375
SPY,2007-03-21,2007-03-20,98.05304,97.72517,99.23757,100.86894226074219
SPY,2007-03-22,2007-03-20,96.45537,97.79528,99.20741,100.79157257080078
SPY,2007-03-23,2007-03-20,91.4581,95.66722,100.18631,100.9393081665039
SPY,2007-03-26,2007-03-20,93.93545,96.30422,98.85136,100.80559539794922
SPY,2007-03-27,2007-03-20,96.67211,98.27688,99.9222,100.56623840332031
